Sex;Provinces;Rates;Periodo;Total
Males;42 Soria;Activity rate;2016QII;62.36
Males;42 Soria;Activity rate;2016QI;60.5
Males;42 Soria;Activity rate;2015QIV;59.9
Males;42 Soria;Activity rate;2015QIII;63.17
Males;42 Soria;Activity rate;2015QII;61.7
Males;42 Soria;Activity rate;2015QI;64.04
Males;42 Soria;Activity rate;2014QIV;61.07
Males;42 Soria;Activity rate;2014QIII;62.47
Males;42 Soria;Activity rate;2014QII;60.37
Males;42 Soria;Activity rate;2014QI;61.53
Males;42 Soria;Activity rate;2013QIV;64.06
Males;42 Soria;Activity rate;2013QIII;64.38
Males;42 Soria;Activity rate;2013QII;63.69
Males;42 Soria;Activity rate;2013QI;63.61
Males;42 Soria;Activity rate;2012QIV;62.6
Males;42 Soria;Activity rate;2012QIII;65.59
Males;42 Soria;Activity rate;2012QII;65.13
Males;42 Soria;Activity rate;2012QI;63.16
Males;42 Soria;Activity rate;2011QIV;64.76
Males;42 Soria;Activity rate;2011QIII;65.85
Males;42 Soria;Activity rate;2011QII;66.09
Males;42 Soria;Activity rate;2011QI;64.45
Males;42 Soria;Activity rate;2010QIV;65.05
Males;42 Soria;Activity rate;2010QIII;66.72
Males;42 Soria;Activity rate;2010QII;66.21
Males;42 Soria;Activity rate;2010QI;64.84
Males;42 Soria;Activity rate;2009QIV;64.29
Males;42 Soria;Activity rate;2009QIII;63.99
Males;42 Soria;Activity rate;2009QII;63.05
Males;42 Soria;Activity rate;2009QI;61.92
Males;42 Soria;Activity rate;2008QIV;62.64
Males;42 Soria;Activity rate;2008QIII;63.58
Males;42 Soria;Activity rate;2008QII;65.21
Males;42 Soria;Activity rate;2008QI;67.36
Males;42 Soria;Activity rate;2007QIV;66.49
Males;42 Soria;Activity rate;2007QIII;67.75
Males;42 Soria;Activity rate;2007QII;67.83
Males;42 Soria;Activity rate;2007QI;66.68
Males;42 Soria;Activity rate;2006QIV;65.65
Males;42 Soria;Activity rate;2006QIII;66.27
Males;42 Soria;Activity rate;2006QII;66.37
Males;42 Soria;Activity rate;2006QI;65.95
Males;42 Soria;Activity rate;2005QIV;66.03
Males;42 Soria;Activity rate;2005QIII;65.88
Males;42 Soria;Activity rate;2005QII;64.59
Males;42 Soria;Activity rate;2005QI;62.81
Males;42 Soria;Activity rate;2004QIV;63.55
Males;42 Soria;Activity rate;2004QIII;65.47
Males;42 Soria;Activity rate;2004QII;64.6
Males;42 Soria;Activity rate;2004QI;62.84
Males;42 Soria;Activity rate;2003QIV;63.33
Males;42 Soria;Activity rate;2003QIII;63.08
Males;42 Soria;Activity rate;2003QII;63.64
Males;42 Soria;Activity rate;2003QI;64.44
Males;42 Soria;Activity rate;2002QIV;64.72
Males;42 Soria;Activity rate;2002QIII;66.94
Males;42 Soria;Activity rate;2002QII;64.31
Males;42 Soria;Activity rate;2002QI;65.75
Males;42 Soria;Unemployment rate;2023QII;6.43
Males;42 Soria;Unemployment rate;2023QI;7.6
Males;42 Soria;Unemployment rate;2022QIV;8.98
Males;42 Soria;Unemployment rate;2022QIII;6.2
Males;42 Soria;Unemployment rate;2022QII;6.64
Males;42 Soria;Unemployment rate;2022QI;6.5
Males;42 Soria;Unemployment rate;2021QIV;6.6
Males;42 Soria;Unemployment rate;2021QIII;5.29
Males;42 Soria;Unemployment rate;2021QII;12.43
Males;42 Soria;Unemployment rate;2021QI;8.78
Males;42 Soria;Unemployment rate;2020QIV;6.8
Males;42 Soria;Unemployment rate;2020QIII;7.64
Males;42 Soria;Unemployment rate;2020QII;6.91
Males;42 Soria;Unemployment rate;2020QI;7.51
Males;42 Soria;Unemployment rate;2019QIV;5.25
Males;42 Soria;Unemployment rate;2019QIII;5.99
Males;42 Soria;Unemployment rate;2019QII;5.84
Males;42 Soria;Unemployment rate;2019QI;5.07
Males;42 Soria;Unemployment rate;2018QIV;3.83
Males;42 Soria;Unemployment rate;2018QIII;6.56
Males;42 Soria;Unemployment rate;2018QII;6.65
Males;42 Soria;Unemployment rate;2018QI;11.67
Males;42 Soria;Unemployment rate;2017QIV;8.62
Males;42 Soria;Unemployment rate;2017QIII;7.72
Males;42 Soria;Unemployment rate;2017QII;11.94
Males;42 Soria;Unemployment rate;2017QI;10.01
Males;42 Soria;Unemployment rate;2016QIV;10.39
Males;42 Soria;Unemployment rate;2016QIII;8.64
Males;42 Soria;Unemployment rate;2016QII;11.55
Males;42 Soria;Unemployment rate;2016QI;14.04
Males;42 Soria;Unemployment rate;2015QIV;9.3
Males;42 Soria;Unemployment rate;2015QIII;10.33
Males;42 Soria;Unemployment rate;2015QII;14.06
Males;42 Soria;Unemployment rate;2015QI;13.77
Males;42 Soria;Unemployment rate;2014QIV;13.72
Males;42 Soria;Unemployment rate;2014QIII;13.46
Males;42 Soria;Unemployment rate;2014QII;12.97
Males;42 Soria;Unemployment rate;2014QI;16.62
Males;42 Soria;Unemployment rate;2013QIV;15.07
Males;42 Soria;Unemployment rate;2013QIII;13.39
Males;42 Soria;Unemployment rate;2013QII;17.68
Males;42 Soria;Unemployment rate;2013QI;19.99
Males;42 Soria;Unemployment rate;2012QIV;14.76
Males;42 Soria;Unemployment rate;2012QIII;13.21
Males;42 Soria;Unemployment rate;2012QII;13.06
Males;42 Soria;Unemployment rate;2012QI;12.9
Males;42 Soria;Unemployment rate;2011QIV;11.13
Males;42 Soria;Unemployment rate;2011QIII;9.11
Males;42 Soria;Unemployment rate;2011QII;10.9
Males;42 Soria;Unemployment rate;2011QI;12.31
Males;42 Soria;Unemployment rate;2010QIV;11.52
Males;42 Soria;Unemployment rate;2010QIII;9.78
Males;42 Soria;Unemployment rate;2010QII;11.66
Males;42 Soria;Unemployment rate;2010QI;9.47
Males;42 Soria;Unemployment rate;2009QIV;9.63
Males;42 Soria;Unemployment rate;2009QIII;5.66
Males;42 Soria;Unemployment rate;2009QII;10.1
Males;42 Soria;Unemployment rate;2009QI;9.35
Males;42 Soria;Unemployment rate;2008QIV;4.13
Males;42 Soria;Unemployment rate;2008QIII;4.51
Males;42 Soria;Unemployment rate;2008QII;4.02
Males;42 Soria;Unemployment rate;2008QI;3.55
Males;42 Soria;Unemployment rate;2007QIV;1.4
Males;42 Soria;Unemployment rate;2007QIII;3.12
Males;42 Soria;Unemployment rate;2007QII;3.51
Males;42 Soria;Unemployment rate;2007QI;2.74
Males;42 Soria;Unemployment rate;2006QIV;2.93
Males;42 Soria;Unemployment rate;2006QIII;3.06
Males;42 Soria;Unemployment rate;2006QII;3.07
Males;42 Soria;Unemployment rate;2006QI;2.26
Males;42 Soria;Unemployment rate;2005QIV;2.82
Males;42 Soria;Unemployment rate;2005QIII;3.22
Males;42 Soria;Unemployment rate;2005QII;3.7
Males;42 Soria;Unemployment rate;2005QI;2.13
Males;42 Soria;Unemployment rate;2004QIV;0.95
Males;42 Soria;Unemployment rate;2004QIII;1.49
Males;42 Soria;Unemployment rate;2004QII;4.6
Males;42 Soria;Unemployment rate;2004QI;1.78
Males;42 Soria;Unemployment rate;2003QIV;2.84
Males;42 Soria;Unemployment rate;2003QIII;4.27
Males;42 Soria;Unemployment rate;2003QII;3.18
Males;42 Soria;Unemployment rate;2003QI;2.82
Males;42 Soria;Unemployment rate;2002QIV;2.23
Males;42 Soria;Unemployment rate;2002QIII;3.3
Males;42 Soria;Unemployment rate;2002QII;2.83
Males;42 Soria;Unemployment rate;2002QI;3.51
Males;42 Soria;Employment rate;2023QII;55.45
Males;42 Soria;Employment rate;2023QI;54.6
Males;42 Soria;Employment rate;2022QIV;55.73
Males;42 Soria;Employment rate;2022QIII;61.14
Males;42 Soria;Employment rate;2022QII;60.33
Males;42 Soria;Employment rate;2022QI;60.39
Males;42 Soria;Employment rate;2021QIV;59.95
Males;42 Soria;Employment rate;2021QIII;62.67
Males;42 Soria;Employment rate;2021QII;57.07
Males;42 Soria;Employment rate;2021QI;54.2
Males;42 Soria;Employment rate;2020QIV;56.62
Males;42 Soria;Employment rate;2020QIII;59.43
Males;42 Soria;Employment rate;2020QII;57.93
Males;42 Soria;Employment rate;2020QI;58.59
Males;42 Soria;Employment rate;2019QIV;60.42
Males;42 Soria;Employment rate;2019QIII;61.6
Males;42 Soria;Employment rate;2019QII;58.74
Males;42 Soria;Employment rate;2019QI;57.59
Males;42 Soria;Employment rate;2018QIV;59.8
Males;42 Soria;Employment rate;2018QIII;58.11
Males;42 Soria;Employment rate;2018QII;59.44
Males;42 Soria;Employment rate;2018QI;55.91
Males;42 Soria;Employment rate;2017QIV;60.71
Males;42 Soria;Employment rate;2017QIII;60.56
Males;42 Soria;Employment rate;2017QII;57.17
Males;42 Soria;Employment rate;2017QI;57.32
Males;42 Soria;Employment rate;2016QIV;56.86
Males;42 Soria;Employment rate;2016QIII;58.26
Males;42 Soria;Employment rate;2016QII;55.15
Males;42 Soria;Employment rate;2016QI;52
Males;42 Soria;Employment rate;2015QIV;54.33
Males;42 Soria;Employment rate;2015QIII;56.65
Males;42 Soria;Employment rate;2015QII;53.03
Males;42 Soria;Employment rate;2015QI;55.22
Males;42 Soria;Employment rate;2014QIV;52.69
Males;42 Soria;Employment rate;2014QIII;54.06
Males;42 Soria;Employment rate;2014QII;52.54
Males;42 Soria;Employment rate;2014QI;51.3
Males;42 Soria;Employment rate;2013QIV;54.41
Males;42 Soria;Employment rate;2013QIII;55.76
Males;42 Soria;Employment rate;2013QII;52.43
Males;42 Soria;Employment rate;2013QI;50.89
Males;42 Soria;Employment rate;2012QIV;53.37
Males;42 Soria;Employment rate;2012QIII;56.93
Males;42 Soria;Employment rate;2012QII;56.63
Males;42 Soria;Employment rate;2012QI;55.01
Males;42 Soria;Employment rate;2011QIV;57.55
Males;42 Soria;Employment rate;2011QIII;59.86
Males;42 Soria;Employment rate;2011QII;58.89
Males;42 Soria;Employment rate;2011QI;56.52
Males;42 Soria;Employment rate;2010QIV;57.56
Males;42 Soria;Employment rate;2010QIII;60.2
Males;42 Soria;Employment rate;2010QII;58.49
Males;42 Soria;Employment rate;2010QI;58.7
Males;42 Soria;Employment rate;2009QIV;58.1
Males;42 Soria;Employment rate;2009QIII;60.37
Males;42 Soria;Employment rate;2009QII;56.69
Males;42 Soria;Employment rate;2009QI;56.13
Males;42 Soria;Employment rate;2008QIV;60.05
Males;42 Soria;Employment rate;2008QIII;60.72
Males;42 Soria;Employment rate;2008QII;62.59
Males;42 Soria;Employment rate;2008QI;64.97
Males;42 Soria;Employment rate;2007QIV;65.56
Males;42 Soria;Employment rate;2007QIII;65.64
Males;42 Soria;Employment rate;2007QII;65.45
Males;42 Soria;Employment rate;2007QI;64.86
Males;42 Soria;Employment rate;2006QIV;63.73
Males;42 Soria;Employment rate;2006QIII;64.24
Males;42 Soria;Employment rate;2006QII;64.33
Males;42 Soria;Employment rate;2006QI;64.46
Males;42 Soria;Employment rate;2005QIV;64.17
Males;42 Soria;Employment rate;2005QIII;63.76
Males;42 Soria;Employment rate;2005QII;62.2
Males;42 Soria;Employment rate;2005QI;61.47
Males;42 Soria;Employment rate;2004QIV;62.95
Males;42 Soria;Employment rate;2004QIII;64.5
Males;42 Soria;Employment rate;2004QII;61.63
Males;42 Soria;Employment rate;2004QI;61.72
Males;42 Soria;Employment rate;2003QIV;61.53
Males;42 Soria;Employment rate;2003QIII;60.38
Males;42 Soria;Employment rate;2003QII;61.62
Males;42 Soria;Employment rate;2003QI;62.62
Males;42 Soria;Employment rate;2002QIV;63.27
Males;42 Soria;Employment rate;2002QIII;64.73
Males;42 Soria;Employment rate;2002QII;62.49
Males;42 Soria;Employment rate;2002QI;63.44
Males;43 Tarragona;Activity rate;2023QII;63.24
Males;43 Tarragona;Activity rate;2023QI;62.8
Males;43 Tarragona;Activity rate;2022QIV;60.4
Males;43 Tarragona;Activity rate;2022QIII;62.05
Males;43 Tarragona;Activity rate;2022QII;62.03
Males;43 Tarragona;Activity rate;2022QI;60.48
Males;43 Tarragona;Activity rate;2021QIV;60.84
Males;43 Tarragona;Activity rate;2021QIII;64.51
Males;43 Tarragona;Activity rate;2021QII;63.91
Males;43 Tarragona;Activity rate;2021QI;64.81
Males;43 Tarragona;Activity rate;2020QIV;65.48
Males;43 Tarragona;Activity rate;2020QIII;65.82
Males;43 Tarragona;Activity rate;2020QII;62.08
Males;43 Tarragona;Activity rate;2020QI;63.36
Males;43 Tarragona;Activity rate;2019QIV;64.38
Males;43 Tarragona;Activity rate;2019QIII;65.31
Males;43 Tarragona;Activity rate;2019QII;65.51
Males;43 Tarragona;Activity rate;2019QI;63.97
Males;43 Tarragona;Activity rate;2018QIV;65.2
Males;43 Tarragona;Activity rate;2018QIII;66.9
Males;43 Tarragona;Activity rate;2018QII;66.19
Males;43 Tarragona;Activity rate;2018QI;65.66
Males;43 Tarragona;Activity rate;2017QIV;65.09
Males;43 Tarragona;Activity rate;2017QIII;65.14
Males;43 Tarragona;Activity rate;2017QII;66.57
Males;43 Tarragona;Activity rate;2017QI;64.32
Males;43 Tarragona;Activity rate;2016QIV;64.7
Males;43 Tarragona;Activity rate;2016QIII;66.67
Males;43 Tarragona;Activity rate;2016QII;66.29
Males;43 Tarragona;Activity rate;2016QI;67.23
Males;43 Tarragona;Activity rate;2015QIV;67.47
Males;43 Tarragona;Activity rate;2015QIII;69.2
Males;43 Tarragona;Activity rate;2015QII;69.1
Males;43 Tarragona;Activity rate;2015QI;68.55
Males;43 Tarragona;Activity rate;2014QIV;67.88
Males;43 Tarragona;Activity rate;2014QIII;70.49
Males;43 Tarragona;Activity rate;2014QII;68.75
Males;43 Tarragona;Activity rate;2014QI;67.81
Males;43 Tarragona;Activity rate;2013QIV;70.23
Males;43 Tarragona;Activity rate;2013QIII;70.18
Males;43 Tarragona;Activity rate;2013QII;70.54
Males;43 Tarragona;Activity rate;2013QI;68.82
Males;43 Tarragona;Activity rate;2012QIV;68.06
Males;43 Tarragona;Activity rate;2012QIII;68.98
Males;43 Tarragona;Activity rate;2012QII;69.34
Males;43 Tarragona;Activity rate;2012QI;68.72
Males;43 Tarragona;Activity rate;2011QIV;70.57
Males;43 Tarragona;Activity rate;2011QIII;70.75
Males;43 Tarragona;Activity rate;2011QII;69.8
Males;43 Tarragona;Activity rate;2011QI;70.67
Males;43 Tarragona;Activity rate;2010QIV;70.35
Males;43 Tarragona;Activity rate;2010QIII;72.63
Males;43 Tarragona;Activity rate;2010QII;69.14
Males;43 Tarragona;Activity rate;2010QI;67.28
Males;43 Tarragona;Activity rate;2009QIV;68.13
Males;43 Tarragona;Activity rate;2009QIII;70.55
Males;43 Tarragona;Activity rate;2009QII;71.7
Males;43 Tarragona;Activity rate;2009QI;72.64
Males;43 Tarragona;Activity rate;2008QIV;71.82
Males;43 Tarragona;Activity rate;2008QIII;72.96
Males;43 Tarragona;Activity rate;2008QII;72.47
Males;43 Tarragona;Activity rate;2008QI;72.55
Males;43 Tarragona;Activity rate;2007QIV;72.02
Males;43 Tarragona;Activity rate;2007QIII;73.5
Males;43 Tarragona;Activity rate;2007QII;71.24
Males;43 Tarragona;Activity rate;2007QI;70.33
Males;43 Tarragona;Activity rate;2006QIV;71.21
Males;43 Tarragona;Activity rate;2006QIII;71.54
Males;43 Tarragona;Activity rate;2006QII;71.5
Males;43 Tarragona;Activity rate;2006QI;70.87
Males;43 Tarragona;Activity rate;2005QIV;72.13
Males;43 Tarragona;Activity rate;2005QIII;72.9
Males;43 Tarragona;Activity rate;2005QII;72.76
Males;43 Tarragona;Activity rate;2005QI;71.82
Males;43 Tarragona;Activity rate;2004QIV;70.4
Males;43 Tarragona;Activity rate;2004QIII;71.93
Males;43 Tarragona;Activity rate;2004QII;69.66
Males;43 Tarragona;Activity rate;2004QI;69.71
Males;43 Tarragona;Activity rate;2003QIV;70.87
Males;43 Tarragona;Activity rate;2003QIII;72.23
Males;43 Tarragona;Activity rate;2003QII;71.14
Males;43 Tarragona;Activity rate;2003QI;70.73
Males;43 Tarragona;Activity rate;2002QIV;70.33
Males;43 Tarragona;Activity rate;2002QIII;72.12
Males;43 Tarragona;Activity rate;2002QII;71.62
Males;43 Tarragona;Activity rate;2002QI;69.35
Males;43 Tarragona;Unemployment rate;2023QII;7.63
Males;43 Tarragona;Unemployment rate;2023QI;11.36
Males;43 Tarragona;Unemployment rate;2022QIV;9.43
Males;43 Tarragona;Unemployment rate;2022QIII;9.59
Males;43 Tarragona;Unemployment rate;2022QII;10.08
Males;43 Tarragona;Unemployment rate;2022QI;12.18
Males;43 Tarragona;Unemployment rate;2021QIV;11.17
Males;43 Tarragona;Unemployment rate;2021QIII;10.96
Males;43 Tarragona;Unemployment rate;2021QII;11.07
Males;43 Tarragona;Unemployment rate;2021QI;13.94
Males;43 Tarragona;Unemployment rate;2020QIV;15.44
Males;43 Tarragona;Unemployment rate;2020QIII;12.87
Males;43 Tarragona;Unemployment rate;2020QII;14.39
Males;43 Tarragona;Unemployment rate;2020QI;12.64
Males;43 Tarragona;Unemployment rate;2019QIV;12.32
Males;43 Tarragona;Unemployment rate;2019QIII;12.4
Males;43 Tarragona;Unemployment rate;2019QII;13.22
Males;43 Tarragona;Unemployment rate;2019QI;13.56
Males;43 Tarragona;Unemployment rate;2018QIV;13.44
Males;43 Tarragona;Unemployment rate;2018QIII;13.2
Males;43 Tarragona;Unemployment rate;2018QII;13.71
Males;43 Tarragona;Unemployment rate;2018QI;14.75
Males;43 Tarragona;Unemployment rate;2017QIV;13.98
Males;43 Tarragona;Unemployment rate;2017QIII;12.92
Males;43 Tarragona;Unemployment rate;2017QII;15.05
Males;43 Tarragona;Unemployment rate;2017QI;19.07
Males;43 Tarragona;Unemployment rate;2016QIV;16.48
Males;43 Tarragona;Unemployment rate;2016QIII;17.94
Males;43 Tarragona;Unemployment rate;2016QII;17.04
Males;43 Tarragona;Unemployment rate;2016QI;19.64
Males;43 Tarragona;Unemployment rate;2015QIV;19.87
Males;43 Tarragona;Unemployment rate;2015QIII;19.93
Males;43 Tarragona;Unemployment rate;2015QII;22.15
Males;43 Tarragona;Unemployment rate;2015QI;21.81
Males;43 Tarragona;Unemployment rate;2014QIV;23.97
Males;43 Tarragona;Unemployment rate;2014QIII;22.3
Males;43 Tarragona;Unemployment rate;2014QII;24.47
Males;43 Tarragona;Unemployment rate;2014QI;25.33
Males;43 Tarragona;Unemployment rate;2013QIV;26.3
Males;43 Tarragona;Unemployment rate;2013QIII;25.17
Males;43 Tarragona;Unemployment rate;2013QII;27
Males;43 Tarragona;Unemployment rate;2013QI;29.51
Males;43 Tarragona;Unemployment rate;2012QIV;24.95
Males;43 Tarragona;Unemployment rate;2012QIII;21.85
Males;43 Tarragona;Unemployment rate;2012QII;21.18
Males;43 Tarragona;Unemployment rate;2012QI;23.29
Males;43 Tarragona;Unemployment rate;2011QIV;21.94
Males;43 Tarragona;Unemployment rate;2011QIII;19.91
Males;43 Tarragona;Unemployment rate;2011QII;17.98
Males;43 Tarragona;Unemployment rate;2011QI;20.43
Males;43 Tarragona;Unemployment rate;2010QIV;20.28
Males;43 Tarragona;Unemployment rate;2010QIII;20.39
Males;43 Tarragona;Unemployment rate;2010QII;20.36
Males;43 Tarragona;Unemployment rate;2010QI;18.9
Males;43 Tarragona;Unemployment rate;2009QIV;18.75
Males;43 Tarragona;Unemployment rate;2009QIII;16.52
Males;43 Tarragona;Unemployment rate;2009QII;16.85
Males;43 Tarragona;Unemployment rate;2009QI;18.6
Males;43 Tarragona;Unemployment rate;2008QIV;13.08
Males;43 Tarragona;Unemployment rate;2008QIII;10.58
Males;43 Tarragona;Unemployment rate;2008QII;9.72
Males;43 Tarragona;Unemployment rate;2008QI;7.98
Males;43 Tarragona;Unemployment rate;2007QIV;6.35
Males;43 Tarragona;Unemployment rate;2007QIII;5.26
Males;43 Tarragona;Unemployment rate;2007QII;5.05
Males;43 Tarragona;Unemployment rate;2007QI;6.08
Males;43 Tarragona;Unemployment rate;2006QIV;5.14
Males;43 Tarragona;Unemployment rate;2006QIII;5.44
Males;43 Tarragona;Unemployment rate;2006QII;5.81
Males;43 Tarragona;Unemployment rate;2006QI;5.02
Males;43 Tarragona;Unemployment rate;2005QIV;5.86
Males;43 Tarragona;Unemployment rate;2005QIII;6.19
Males;43 Tarragona;Unemployment rate;2005QII;5.24
Males;43 Tarragona;Unemployment rate;2005QI;5.26
Males;43 Tarragona;Unemployment rate;2004QIV;5.97
Males;43 Tarragona;Unemployment rate;2004QIII;6.65
Males;43 Tarragona;Unemployment rate;2004QII;7.12
Males;43 Tarragona;Unemployment rate;2004QI;7.48
Males;43 Tarragona;Unemployment rate;2003QIV;6.53
Males;43 Tarragona;Unemployment rate;2003QIII;4.06
Males;43 Tarragona;Unemployment rate;2003QII;5.88
Males;43 Tarragona;Unemployment rate;2003QI;7.29
Males;43 Tarragona;Unemployment rate;2002QIV;5.97
Males;43 Tarragona;Unemployment rate;2002QIII;5.65
Males;43 Tarragona;Unemployment rate;2002QII;5.66
Males;43 Tarragona;Unemployment rate;2002QI;6.68
Males;43 Tarragona;Employment rate;2023QII;58.42
Males;43 Tarragona;Employment rate;2023QI;55.66
Males;43 Tarragona;Employment rate;2022QIV;54.71
Males;43 Tarragona;Employment rate;2022QIII;56.1
Males;43 Tarragona;Employment rate;2022QII;55.77
Males;43 Tarragona;Employment rate;2022QI;53.11
Males;43 Tarragona;Employment rate;2021QIV;54.04
Males;43 Tarragona;Employment rate;2021QIII;57.44
Males;43 Tarragona;Employment rate;2021QII;56.83
Males;43 Tarragona;Employment rate;2021QI;55.77
Males;43 Tarragona;Employment rate;2020QIV;55.37
Males;43 Tarragona;Employment rate;2020QIII;57.35
Males;43 Tarragona;Employment rate;2020QII;53.14
Males;43 Tarragona;Employment rate;2020QI;55.35
Males;43 Tarragona;Employment rate;2019QIV;56.44
Males;43 Tarragona;Employment rate;2019QIII;57.21
Males;43 Tarragona;Employment rate;2019QII;56.84
Males;43 Tarragona;Employment rate;2019QI;55.3
Males;43 Tarragona;Employment rate;2018QIV;56.44
Males;43 Tarragona;Employment rate;2018QIII;58.07
Males;43 Tarragona;Employment rate;2018QII;57.11
Males;43 Tarragona;Employment rate;2018QI;55.97
Males;43 Tarragona;Employment rate;2017QIV;55.99
Males;43 Tarragona;Employment rate;2017QIII;56.73
Males;43 Tarragona;Employment rate;2017QII;56.55
Males;43 Tarragona;Employment rate;2017QI;52.05
Males;43 Tarragona;Employment rate;2016QIV;54.04
Males;43 Tarragona;Employment rate;2016QIII;54.71
Males;43 Tarragona;Employment rate;2016QII;54.99
Males;43 Tarragona;Employment rate;2016QI;54.03
Males;43 Tarragona;Employment rate;2015QIV;54.06
Males;43 Tarragona;Employment rate;2015QIII;55.41
Males;43 Tarragona;Employment rate;2015QII;53.79
Males;43 Tarragona;Employment rate;2015QI;53.6
Males;43 Tarragona;Employment rate;2014QIV;51.61
Males;43 Tarragona;Employment rate;2014QIII;54.77
Males;43 Tarragona;Employment rate;2014QII;51.93
Males;43 Tarragona;Employment rate;2014QI;50.63
Males;43 Tarragona;Employment rate;2013QIV;51.76
Males;43 Tarragona;Employment rate;2013QIII;52.52
Males;43 Tarragona;Employment rate;2013QII;51.5
Males;43 Tarragona;Employment rate;2013QI;48.51
Males;43 Tarragona;Employment rate;2012QIV;51.08
Males;43 Tarragona;Employment rate;2012QIII;53.91
Males;43 Tarragona;Employment rate;2012QII;54.65
Males;43 Tarragona;Employment rate;2012QI;52.71
Males;43 Tarragona;Employment rate;2011QIV;55.09
Males;43 Tarragona;Employment rate;2011QIII;56.66
Males;43 Tarragona;Employment rate;2011QII;57.25
Males;43 Tarragona;Employment rate;2011QI;56.23
Males;43 Tarragona;Employment rate;2010QIV;56.08
Males;43 Tarragona;Employment rate;2010QIII;57.82
Males;43 Tarragona;Employment rate;2010QII;55.06
Males;43 Tarragona;Employment rate;2010QI;54.56
Males;43 Tarragona;Employment rate;2009QIV;55.36
Males;43 Tarragona;Employment rate;2009QIII;58.9
Males;43 Tarragona;Employment rate;2009QII;59.62
Males;43 Tarragona;Employment rate;2009QI;59.13
Males;43 Tarragona;Employment rate;2008QIV;62.43
Males;43 Tarragona;Employment rate;2008QIII;65.24
Males;43 Tarragona;Employment rate;2008QII;65.42
Males;43 Tarragona;Employment rate;2008QI;66.76
Males;43 Tarragona;Employment rate;2007QIV;67.45
Males;43 Tarragona;Employment rate;2007QIII;69.64
Males;43 Tarragona;Employment rate;2007QII;67.64
Males;43 Tarragona;Employment rate;2007QI;66.06
Males;43 Tarragona;Employment rate;2006QIV;67.55
Males;43 Tarragona;Employment rate;2006QIII;67.65
Males;43 Tarragona;Employment rate;2006QII;67.34
Males;43 Tarragona;Employment rate;2006QI;67.31
Males;43 Tarragona;Employment rate;2005QIV;67.9
Males;43 Tarragona;Employment rate;2005QIII;68.39
Males;43 Tarragona;Employment rate;2005QII;68.95
Males;43 Tarragona;Employment rate;2005QI;68.05
Males;43 Tarragona;Employment rate;2004QIV;66.19
Males;43 Tarragona;Employment rate;2004QIII;67.15
Males;43 Tarragona;Employment rate;2004QII;64.7
Males;43 Tarragona;Employment rate;2004QI;64.5
Males;43 Tarragona;Employment rate;2003QIV;66.24
Males;43 Tarragona;Employment rate;2003QIII;69.3
Males;43 Tarragona;Employment rate;2003QII;66.95
Males;43 Tarragona;Employment rate;2003QI;65.58
Males;43 Tarragona;Employment rate;2002QIV;66.13
Males;43 Tarragona;Employment rate;2002QIII;68.04
Males;43 Tarragona;Employment rate;2002QII;67.57
Males;43 Tarragona;Employment rate;2002QI;64.72
Males;44 Teruel;Activity rate;2023QII;60.94
Males;44 Teruel;Activity rate;2023QI;56.16
Males;44 Teruel;Activity rate;2022QIV;56.54
Males;44 Teruel;Activity rate;2022QIII;60.09
Males;44 Teruel;Activity rate;2022QII;60.15
Males;44 Teruel;Activity rate;2022QI;61.69
Males;44 Teruel;Activity rate;2021QIV;59.71
Males;44 Teruel;Activity rate;2021QIII;61.44
Males;44 Teruel;Activity rate;2021QII;60.67
Males;44 Teruel;Activity rate;2021QI;58.34
Males;44 Teruel;Activity rate;2020QIV;59.34
Males;44 Teruel;Activity rate;2020QIII;61.27
Males;44 Teruel;Activity rate;2020QII;61.08
Males;44 Teruel;Activity rate;2020QI;61.23
Males;44 Teruel;Activity rate;2019QIV;63.61
Males;44 Teruel;Activity rate;2019QIII;61.8
Males;44 Teruel;Activity rate;2019QII;62.03
Males;44 Teruel;Activity rate;2019QI;62.69
Males;44 Teruel;Activity rate;2018QIV;63.54
Males;44 Teruel;Activity rate;2018QIII;63.34
Males;44 Teruel;Activity rate;2018QII;62.85
Males;44 Teruel;Activity rate;2018QI;61.58
Males;44 Teruel;Activity rate;2017QIV;61.42
Males;44 Teruel;Activity rate;2017QIII;63.77
Males;44 Teruel;Activity rate;2017QII;60.84
Males;44 Teruel;Activity rate;2017QI;60.6
Males;44 Teruel;Activity rate;2016QIV;62.39
Males;44 Teruel;Activity rate;2016QIII;62.25
Males;44 Teruel;Activity rate;2016QII;60.65
Males;44 Teruel;Activity rate;2016QI;62.08
Males;44 Teruel;Activity rate;2015QIV;62.76
Males;44 Teruel;Activity rate;2015QIII;61.37
Males;44 Teruel;Activity rate;2015QII;63.42
Males;44 Teruel;Activity rate;2015QI;62.52
Males;44 Teruel;Activity rate;2014QIV;63.31
Males;44 Teruel;Activity rate;2014QIII;61.52
Males;44 Teruel;Activity rate;2014QII;60.42
Males;44 Teruel;Activity rate;2014QI;60.51
Males;44 Teruel;Activity rate;2013QIV;61.79
Males;44 Teruel;Activity rate;2013QIII;61.64
Males;44 Teruel;Activity rate;2013QII;61.51
Males;44 Teruel;Activity rate;2013QI;61.79
Males;44 Teruel;Activity rate;2012QIV;64.59
Males;44 Teruel;Activity rate;2012QIII;63.3
Males;44 Teruel;Activity rate;2012QII;61.8
Males;44 Teruel;Activity rate;2012QI;61.33
